1;9/4/2020;17:5:0;1.74,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,2.34,;
2;9/4/2020;17:5:5;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.81,;
3;9/4/2020;17:5:10;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.81,;
4;9/4/2020;17:5:15;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.82,;
5;9/4/2020;17:5:20;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.83,;
6;9/4/2020;17:5:25;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.85,;
7;9/4/2020;17:5:30;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.84,;
8;9/4/2020;17:5:35;1.72,1.74,1.74,1.74,3.27,1.75,1.74,1.74,1.74,0.82,;
9;9/4/2020;17:5:40;1.72,1.73,1.74,1.74,3.27,1.75,1.74,1.74,1.74,0.81,;
10;9/4/2020;17:5:45;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.81,;
11;9/4/2020;17:5:50;1.72,1.73,1.74,1.74,3.27,1.75,1.74,1.74,1.74,0.82,;
12;9/4/2020;17:5:55;1.72,1.74,1.74,1.74,3.28,1.75,1.74,1.74,1.74,0.83,;
13;9/4/2020;17:6:0;1.72,1.74,1.74,1.74,3.27,1.75,1.74,1.74,1.74,0.84,;
14;9/4/2020;17:6:5;1.72,1.74,1.73,1.74,3.28,1.75,1.74,1.66,1.73,0.84,;
15;9/4/2020;17:6:10;1.71,1.73,1.73,1.73,3.28,1.75,1.73,1.59,1.73,0.83,;
16;9/4/2020;17:6:15;1.71,1.73,1.72,1.73,3.27,1.74,1.72,1.55,1.73,0.81,;
17;9/4/2020;17:6:20;1.71,1.73,1.72,1.73,3.27,1.73,1.71,1.52,1.73,0.81,;
18;9/4/2020;17:6:25;1.70,1.72,1.71,1.72,3.27,1.73,1.70,1.52,1.73,0.82,;
19;9/4/2020;17:6:30;1.70,1.72,1.70,1.72,3.27,1.72,1.69,1.50,1.72,0.83,;
20;9/4/2020;17:6:35;1.69,1.71,1.69,1.71,3.27,1.72,1.68,1.50,1.72,0.83,;
21;9/4/2020;17:6:40;1.69,1.71,1.69,1.71,3.27,1.71,1.67,1.48,1.72,0.81,;
22;9/4/2020;17:6:45;1.68,1.70,1.68,1.71,3.27,1.71,1.66,1.48,1.72,0.80,;
23;9/4/2020;17:6:50;1.68,1.70,1.67,1.71,3.28,1.70,1.65,1.48,1.71,0.80,;
24;9/4/2020;17:6:55;1.68,1.69,1.67,1.70,3.26,1.70,1.64,1.47,1.71,0.81,;
25;9/4/2020;17:7:0;1.67,1.69,1.66,1.71,3.27,1.70,1.64,1.47,1.71,0.83,;
26;9/4/2020;17:7:5;1.67,1.68,1.66,1.70,3.27,1.69,1.63,1.46,1.71,0.82,;
27;9/4/2020;17:7:10;1.66,1.68,1.65,1.70,3.27,1.69,1.62,1.46,1.70,0.79,;
28;9/4/2020;17:7:15;1.66,1.67,1.65,1.70,3.27,1.69,1.62,1.46,1.70,0.79,;
29;9/4/2020;17:7:20;1.66,1.67,1.65,1.70,3.27,1.68,1.62,1.46,1.70,0.81,;
30;9/4/2020;17:7:25;1.66,1.67,1.64,1.69,3.27,1.68,1.61,1.47,1.70,0.82,;
31;9/4/2020;17:7:30;1.66,1.67,1.64,1.69,3.28,1.68,1.61,1.49,1.70,0.81,;
32;9/4/2020;17:7:35;1.66,1.67,1.65,1.69,3.28,1.68,1.61,1.51,1.70,0.79,;
33;9/4/2020;17:7:40;1.66,1.67,1.65,1.70,3.27,1.68,1.62,1.53,1.70,0.79,;
34;9/4/2020;17:7:45;1.66,1.67,1.65,1.70,3.27,1.68,1.63,1.55,1.70,0.80,;
35;9/4/2020;17:7:50;1.66,1.67,1.66,1.70,3.27,1.69,1.63,1.56,1.70,0.82,;
36;9/4/2020;17:7:55;1.67,1.68,1.66,1.70,3.27,1.69,1.64,1.58,1.70,0.81,;
